id,name,yearpublished,minplayers,maxplayers,description,average,bayesaverage,playingtime,minage,thumbnail,image
"221,Ikusa,shogun   samurai sword   ikusa game original milton bradley gamemaster series focus chaotic feudal society japan middle age player play faction erupt civil war try consolidate stronghold defeat army right call shogun supreme rulerin game player command force island feudal japan   player force include provincial force province mobile army command daimyos   turn player allocate koku bid purchase round   round begin allocation turn order determine bid case tie bid player agreement random draw   player bid payment account purchase castle fortress draft new troop ronin bid lone ninja   follow bid phase player turn order plan execute attack enemy territory attack resolve die roll   player win game capture certain number territory straight conquest vanquish opponent diamyos take player forcesthe game originally publish shogun later change samurai sword conflict james clavells shogun ikusa late iteration game,1986,2.9509,7.02371,6.569,1.37559,2,5,12.857142857142858,22.043478260869566,4,""['4', '5']"",8437,227,921,509,360,240,360,12,4974,0,2,0,0,0,Gamemaster (Milton Bradley),0,https://cf.geekdo-images.com/fwG7yJFb4Py3ZGRNXHIYEw__original/img/To7hx1UUqgDS271spiodHss2Lkw=/0x0/filters:format(jpeg)/pic1050037.jpg,944,21926,21926,21926,250,21926,240,21926,21926,1,0,1,0,0,0,0,0",,0,0,0,,,,30,1,,
222,Space Beans,1999,2,6,game successor popular bohnanza complex base tradingplayer attempt collect   point quottrophiesquot win game accomplish work collection space bean    public faceup   secret facedownthe primary mechanic draw bean place collection public secret matching card play pass entire hand player right compile collection contain number bean equal number value bean collection redeem collection point cardfor example player violet bean value   collection convert trophy point card number   trophy pile card disc,,,30,1,,
223,Expedition,1996,2,6,base early effort wildlife adventure expedition game move commonly hold expedition world search archaeological site board map world different branching path player advance expedition place plastic arrow expedition arrive location match card score card player score card end game high total score take dayreimplement      wildlife adventurereimplemente      schatzsucher children version      expedition famous explorer,,,30,1,,
"224,History of the World,history world work assumption empire eventually fade thing differentiate great empire less one territory conquer long take civilization disappear   game play   epoch round ancient   bc sumerian preww germany player control new rise empire history   empire strong like roman game clever mechanism help balance   end epoch player score point unit color current previous empire remain boardgameplay   player select color take piece color different miniature   epoch sort epoch   game board stylized version globe   event card separate great less event   player deal   great event minor empire leader weaponry reallocation   player deal   less event     different type less event disaster disease special ability   player roll   dice determine player begin draw epoch empire   unique mechanism drawing player examine draw empire decide player nt get   give player receive player choice play epoch   player draw make decision   player give draw empire wait give empire player player draw   empire card contain empire troop empire expansion empire start land space capitol barbarian nomadic nation frequently navigation sea ocean travel   player read epoch empire order turn take roughly historical order player empire calledbefore start turn player play event card hand   event play resolve player start empire action   player active empire navigation ship token place sea ocean list ocean list adjacent sea ocean ship marker   reallocation great event allow empire navigation exchange fleet sea ocean coin buy defeat troop   coin troop   active empire capitol take place empire start land unit empire available troopssince land space contain troop player begin expand starting land place troop adjacent land space wish occupy conquer   conquer land attacker move unit land space adjacent land sea ship   dice roll attacker get   dice defender attacker travel strait defender land forest great wall china mountain border land attacker come   case defender receive   dice   attack come sea defender get   dice defense   high score win tie kill defender attacker   case attacker merely place troop left nowempty land spaceat time active empire player exchange unplaced troop fort   later turn fort give player   defensive roll land   defender fort lose tie attacker fort remove battle continue   army conquer land capitol capitol mini flip reduce city city begin remove board conquer   active player empire finish action check conquer land space resource symbol build monumentthen scoring take place   area middleeast northern europe eurasia etc tile   value current epoch   value have presence area land   value have dominance area   land player area value have control area   land player area   value vary epoch epoch area area middleeast valuable early epoch fade late epoch example   total score area piece player color empire control remain board   add   point capitol control   point city point monument control area score empire call take turnafter player take turn score epoch player high score get preeminence marker place   secret bonus point worth     end game examine till   bonus leader help balance empiredraw mechanic make valuable score maximal point early game tank well draw later draw begin epoch player have low score draw person high score draw likely give optimal empire playervictory player score epoch   leader draw preeminence marker player reveal preeminence marker add score   player high score winsonline play     httpgamesbyemailcom english turnbasedcontent   ah edition page rule folder page sample game folderquot x quot mount mapboard x   army marker   iv   iiv   iivi   iiivii   ivvii ivvi   ivv x   monument x   fleet x   vp marker fortsfortresse capitalcity marker sumerian armiesfive sided dice event card empire cardscontent   hasbro edition page rule book dice    white   red capitalscite fort monumentsepoch    colorepoch ii    colorepoch iii    colorepoch iv    colorepoch v    colorepoch vi    colorepoch vii    color coinsfleet preeminence marker score chart empire card    epoch great event card less event card,1991,2.7703,7.12299,6.62721,1.51252,3,6,10.714285714285714,2.9565217391304346,6,""['4', '5', '6']"",5501,149,583,492,270,135,270,12,4416,0,1,0,1,0,,0,https://cf.geekdo-images.com/2pr-83ghWQUlwXSLuSTCtw__original/img/_MRG_pnmZQwScJWus84gwaXNflE=/0x0/filters:format(jpeg)/pic287451.jpg,852,526,21926,21926,205,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
225,Icehouse,1989,3,5,game introduce icehouse piece december   initial test run   icehouse set sell package black box later handmade set produce limited quantitiesthis game nt use turn round break action   player place piece quickly slowly like attack defend position   time run piece game score people get point safe defender successful attacker,,,30,1,,
226,Isi,1999,2,2,isi colorful abstract strategy game play level   basic level player move pawn island isi pick token   s little strategy token pick important player pawn interfere   level player spend token build trade route city island   city grow connect trade route end game whichever city grow capital city connect capital win gamereimplemente     morisi,,,30,1,,
228,Lunch Money,1996,2,4,card game simulate child little girl feature card run playground beat steal lunch money   past strange theme s fun little game player beat senseless card like poke eye uppercut humiliation   weak willed game mean   player stand winsreimplemente     beer moneyintegrate     beer money,,,30,1,,
229,King of the Elves,1999,2,6,elven king dead player compete king   game similar nature elfenroadselfenland player try visit city possible optimal transportation card s different lay land dictate card play   player interfere journey use thief obstacle sea serpent,,,30,1,,
"230,Merchant of Venus,merchant venu make player role space trader chase wealth fortune player move ship interconnect system fix map discover new alien world trade player start money deliver commodity earning purchase equipment construct infrastructure player acquire total value cash portfactory deed win gamethe game use basic rollandmove mechanism movement modify engine ship upgrade let player skip certain space movement player reach city spaceport buy sell commodity different specie randomly distribute universe start game player uncover specie live exploration course game   layout specie live work offset rigidity fix map make different route map profitable gamethe price player receive sell cargo determine specie live system commoditie port offer purchase determine unique dynamic supplyanddemand mechanism money player replace spaceship well model build factory create well commodity spaceport speed trading buy upgrade ship like shield laser enginesvariation include rulebook allow interplayer combat solo play exact target wealth player acquire order win decide play,1988,2.8345,7.14422,6.49035,1.52243,1,6,10.222222222222221,6.916666666666667,4,""['3', '4']"",3336,274,851,278,180,180,180,12,2673,0,0,1,1,0,,0,https://cf.geekdo-images.com/FZ7aD_jdYDqpcSBQ1rkT8A__original/img/DRiPQCym-5XtuaO6hswEoGzcKkY=/0x0/filters:format(jpeg)/pic159117.jpg,1093,596,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
231,Geronimo,1995,1,5,  indian conflict tragic period historyeach turn player randomly assign play   indian tribe player represent turn player number indian tribe control indian player select active tribe rest deal randomly usually indian tribe available active turn player nt know one inactive   unsettling player decide deploy limited troop columnsall player compete earn victory point   player face task build sufficient resource settlement town railroad mine etc maintain exist state convert territory state indian pla,,,30,1,,
232,Serenissima,1996,2,4,themein fourteenth century atlantic ocean end america discover mediterranean sea great prosperity   route east west great fleet age battle lucrative trade routestrade city like venice genoa barcelona istanbul grow powerful nation establish trade route far north africa middle east bring spice gem gold western mediterranean serenissima recreate era mediterranean centre world tradethe gameeach player assume role citystate goal establish sphere influence mediterranean share sort commodity trading em,,,30,1,,
234,Hannibal: Rome vs. Carthage,1996,2,2,game use popular card system appear avalon hill people game detail struggle carthage hannibal roman republic approximately   bchannibal rome vs carthage asymmetrical card drive game   player set time epic struggle ancient rome carthage present conflict superpower antiquity classical clausewitzian perspective accord power revert military operation way achieve goal political dominancehannibal rome vs carthage design acclaim designer world mark simonitch player use strategy card multiple purpose mo,,,30,1,,
"235,Blackbeard,introduction rule bookblackbeard recreate quotthe golden age piracyquot turn th century player pirate attempt amass fortune retire king commissioner track warship stumble crew cut throat merchant ship ply trade route target prize range nearworthless supply fabulous spanish mogul treasure ship luck skill cunne play comb seven sea   fame fortune player aware game simulate th century piracy feature random happenstance little plan player ready strike opportunity present wily aggressive rash fare well long runplayer role famous pirate navigate major sea lane golden age piracy   plunder pirateere await player move map variable system deck card   normal turn order game player designation draw deck   role pirate role english military ship hunt sea pirate   make shrewd choice have luck player end game wealthy retired pirate large fleet ship accumulate year,1991,3.195,6.35591,5.86413,1.56298,1,4,12.666666666666666,13.25,1,""['1', '3']"",2931,59,226,159,240,120,240,12,1431,0,1,0,1,0,,0,https://cf.geekdo-images.com/x3PPn_TiMX_kn75HoMBOYg__original/img/qJfpzHF1BaPbby16-q1dPEiSvLM=/0x0/filters:format(jpeg)/pic164665.jpg,3313,21926,21926,21926,646,21926,878,21926,21926,1,0,1,0,0,0,0,0",,0,0,0,,,,30,1,,
"237,Wooden Ships & Iron Men,fight ship age sail   classic title detail military engagement golden age sail plethora historical scenario   player group ship form ship line   game come large generic ocean map overlaid hex grid   ship counter occupy hex include special rule move fire design   player begin small scenario work fleet engage pitch battleavalon hill complexity rating  ,1974,3.1193,7.05421,6.29267,1.34946,2,2,12.222222222222221,2.3636363636363638,2,""['2', '2+']"",4117,69,353,243,60,60,60,12,1998,0,0,0,0,0,,0,https://cf.geekdo-images.com/ShE5Vu_YsW1J3408bbW8kQ__original/img/4XHxoXaxm-VbCLZIPPLZ3JGo-8I=/0x0/filters:format(jpeg)/pic6507518.jpg,1492,21926,21926,21926,21926,21926,234,21926,21926,0,0,1,0,0,0,0,0",,0,0,0,,,,30,1,,
"239,""Wagram: The Peace of Vienna, 5-6 July 1809"",wagram simulation battle take place army hapsburg empire archduke charle frenchallie army napoleon july th th game include napoleon war quadrigame   game set base napoleon waterloo system basic movementcombat system hard zone controlcrt unique ee equal elimination feature   die roll   result attacker unit strength   defender unit strength   simultaneously eliminatedthis game republish tactic   hobby japan,1975,2.1538,6.7265,5.56236,1.33579,2,2,,,0,[],205,3,15,13,90,90,90,12,100,0,0,0,0,0,Napoleon At Waterloo (SPI),0,https://cf.geekdo-images.com/4cKO_ZPFxYBmuk5zXPJxjQ__original/img/VPTcoUiHRarXQbWIbZe64Hdqu8E=/0x0/filters:format(jpeg)/pic55779.jpg,9406,21926,21926,21926,21926,21926,1641,21926,21926,0,0,1,0,0,0,0,0",,0,0,0,,,,30,1,,
240,Britannia,1986,3,5,britannia historical board game broadly depict millennialong struggle control england scotland wale game begin roman invasion   ad continue struggle angle saxon pict norseman scot irish tribe end norman invasion britannia allow player recreate epic history reenact important battle case alter course history game rule discourage player make historically unrealistic move player freedom alter great britainrsquos history important way create countless interesting ldquowhat ifrdquo scenario boudiccars,,,30,1,,
241,Age of Exploration,1994,1,6,player represent european syndicate backing expedition begin attract famous explorer columbus magellan ponce de leon cortez outfit expedition set voyage discoveryat sea brave scurvy storm superstition make landfall encounter friendly native find embroil rivalry civil war prophecy difficulty challenge bold conquistador path glory,,,30,1,,
"242,Junta,player represent family republica de los bananaseach game turn     round draw card president assign role foreign aid money draw president propose budget vote location choose assassination attempt bank open coup aftermath round startsthe game     player     player variant   president life el presidente elect allocate role player   depend office card hold player certain number vote important vote elect el presidente vote turn budget propose president budget start president draw   money card face money deck vary denomination     propose allocation include budget amount president discretion president undisclosed foreign aid moneyplayer attempt assassinate player include president guess location player successfully assassinate player player unbanke money safe money money deposit player swiss bank account way bank survive assassination roundif player unhappy advantage want coup excuse start coup coup see player compete armed force control majority   power center rebel player control force role assign prior coup   eg army navy air force player loyal president seek control stronghold coup conclusion coup player control   power centre vote propresident projunta determine president stay junta win elect new president send firing squadplayer assassinate kill simply member family begin new card keep family fund deposit swiss bank accountthe game win pesos swiss bank account money run,1978,2.8699,6.69389,6.35873,1.66296,2,7,14.181818181818182,3.85,7,""['5', '6', '7']"",8809,119,677,469,240,240,240,16,5490,0,3,2,0,0,Junt,0,https://cf.geekdo-images.com/CJdl6aOlXL1FyXG7hfSJQg__original/img/ahJ4r9b6FFu7T-r0lanVMOiDCds=/0x0/filters:format(jpeg)/pic2497596.jpg,1333,850,21926,21926,365,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
243,Advanced Squad Leader,1985,2,2,advanced squad leader completely reorganize redesign version original squad leader system threere binder basic rule entire system provide ultimate combination playability detail fullcolor chart beautiful picture readable rulebook   include fullservice index quick referenceand asl quotsquadsquot   system include rule machine gun bazookas tank ordnance weapon paratrooper drop glider landing beach assault set rule constantly keep date expansion include modulesasl goal scenariodefine vary task exit ,,,30,1,,
"244,Circus Maximus,battleline original publisherquotthe grandeur decadence ancient rome living room thrill dust chariot race skillful bloodshed gladiatorial combat circus maximus game chariot race game pick team horse driver chariot car special characteristic     gladiator pick weapon step bloodstained sand simultaneously maneuver strike wait fatal step put inside opponent guardquotbattleline circus maximus later develop don greenwood publish   avalon hill game co separate title circus maximus gladiatorviolent bloody circus maximus detail chariot race occur ancient rome   team race track time determine victory   player prepare race select composition team horse rider skill type chariot drive   race begin player free wish hamper racer include whip rider ram chariot scythed wheel smash horse run crash opponent   campaign game multiple race player manage team increase income bet race possible,1979,2.6485,6.75117,6.08008,1.4407,2,10,12.307692307692308,381.8181818181818,8,""['4', '5', '6', '7', '8']"",2941,87,248,165,120,120,120,12,1600,0,1,0,0,0,,0,https://cf.geekdo-images.com/oiHnUy0bF7jSIRLOfvClXw__original/img/arqC2AhugPBlB7BuHXdbVel8r4A=/0x0/filters:format(jpeg)/pic290698.jpg,2184,1143,21926,21926,447,21926,21926,21926,21926,1,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
246,Politika,1996,3,7,card game come italy base politic player try form government try pull cash possible advantageous law plain corruption bribery player hamper way win vote noconfidence hope government improve course previous,,,30,1,,
247,Gloria Picktoria,1996,2,5,player try collect majority different commoditiesglamorous chicken possession possible place card second card type scoring round delimit appearance certain card draw pilesome union pacificairline enthusiast recognize scoring system share aspect similarpublishe reibach amp co germany   good america   gloria picktoria zoch   chicken theme,,,30,1,,
248,Blood Royale,1987,3,5,quotpower wealth wealth powerquotup player control major blood line middle age guide dynasty family member age attempt gain wealth diplomatic economic military meanstake unique twist typical multiplayer conquest game blood royale downplay war aspect game make dynastic family political fortune heart soul game   player utilize family member wish create stable seat power country rest europe,,,30,1,,
"249,Lifeboats,know rette sich wer kann man time refer lifeboat game pure negotiation game put different spin typical ocean catastrophe   s boat accident ragtag group lifeboat try way island horizon   boat forward progress give turn player try convince vote particular favorite   complicate matter sailor nt decide boat want constantly jump boat swim   nt boat spring leak turn   boat maximum occupancy leak occur player vote decide toss shark,1993,1.7862,6.58545,6.21921,1.47694,3,6,11.25,61.0,6,""['5', '6']"",3714,337,1099,276,90,90,90,12,3472,0,5,0,0,0,,0,https://cf.geekdo-images.com/wcjYK7MwVpOf_V7zcOEcdQ__original/img/obGvnlB_BqyPjgR6K45RmZ3OE9w=/0x0/filters:format(jpeg)/pic166390.jpg,1710,939,21926,491,21926,21926,21926,21926,21926,0,1,0,1,0,0,0,0",,0,0,0,,,,30,1,,
250,Colonial Diplomacy,1994,2,7,different version original avalon hill game co classic diplomacyplayer represent colonial country france uk holland etc spar land rich far east   kind unit sea land   turn piece option adjoining territory help unit defend adjoining territory   incredibly simplistic movement mechanic fuse significant negotiation element system highly respect gamerreimplement     diplomacy,,,30,1,,
252,The Battle of Borodino: Napoleon in Russia 1812,1972,2,2,game cover napoleon way moscow encounter severe resistance borodino aggression stop russian army winter effectstrategy amp tactic magazine   game publish spi    countersuser comment game broadly consider early classic wargame crude simulation today standard hallmark make quotgamequot good simple balanced replayable draw interest new gamer old salt alike,,,30,1,,
"254,Empires in Arms,box   avalon hill editionquotempire armsquot boardwargame cover major element diplomacy warfare napoleonic war   player absolute monarch major european power austria france great britain prussia russia spain turkey guide nation maze conflict interest ambition characterize napoleonic europe major power individual economic military geographic advantage disadvantage player negotiate alliance dictate peace treaty administer conquest conduct warfare land sea maneuver corp fleet constant struggle survival prestigebull numerous scenario   vary size length fourturn twoplayer   scenario   turn sevenplayer grand campaign game bull great military leader   napoleon france nelson great britain blucher prussia prince charles austria morebull uncontrolle major power   rule allow realistic use extra major power campaign game seven player availablebull unique combat system   land combat take account effect leadership grandtactic number morale type troop present siege include storming sortie sea commander try hold quotwindgaugequot mass shore battery protect harbor blockade enemy fleetsbull economic system   money manpower availability home province conquest determine recruiting national strengthcontent diecut counterstwo quot quot mapboard rulebook dice double sided display chartsform identical double sided chartstable reference page national cardsbgg description boardgame cover major element diplomacy warfare napoleonic war   player absolute monarch major powersengland france austria russia prussia spain turkey   game last   turn   month approx playing time   hour month split   phase      diplomatic phase player negotiate deal forge alliance etc       reinforcement phase player sequence add reinforcement       naval phase player conduct naval move sequence      land phase player move fight army sequence month additional phase add      economic phase player collect resource purchase future reinforcement win game nation need amass victory point score economic phase base nation political status status gravitate central position player continually quotpolitikquot reach goal,1983,4.4067,7.61853,6.31577,1.77623,2,7,16.583333333333332,8.933333333333334,7,""['6', '7']"",2189,74,379,209,12000,120,12000,14,1257,0,0,0,1,0,,0,https://cf.geekdo-images.com/jaeUmGmOuicA5q3Il4Mb2w__original/img/ERxKg9p0v1zlZPcZSJFkBWafbW4=/0x0/filters:format(jpeg)/pic3651485.jpg,1437,21926,21926,21926,21926,21926,108,21926,21926,0,0,1,0,0,0,0,0",,0,0,0,,,,30,1,,
255,Jena-Auerstadt: The Battle for Prussia,1975,2,2,extrapolate short review write francois charton spi compendiuma small minigame picture twin battle october     counter little fact half regular size map represent battlefield connect series offmap movement box game take   minute learn   hour play high solitaire playability   rule simple possible unit zone control exit enemy zoc combat mandatory unit advance combat retreat zoc forbid need surround enemy eliminate artillery fire hex away suffer adverse result cavalry unit fast weak infantry unit  ,,,30,1,,
"256,Mississippi Queen,light fun family game player race paddleboat mississippi pick passenger way   onboard coal supply limit ship acceleration maneuver carefully plan   interestingly twist turn river unknown start game reveal ship progress downstreamexpande      mississippi queen black rise,1997,1.6949,6.33296,6.07478,1.30575,3,5,8.583333333333334,16.0,5,""['3', '4', '5']"",5844,139,403,390,45,45,45,10,3922,0,0,1,0,0,,0,https://cf.geekdo-images.com/JkZ5KTRdQwX9IHNsviQ3Sg__original/img/S2SHNFd-dGs_oBxnTNrzNFm-fnU=/0x0/filters:format(jpeg)/pic174176.jpg,2202,21926,21926,685,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"257,Kill Doctor Lucky,notorious game inversion clue hate doctor lucky maybe leave maybe kill pet rock reason want dead unfortunately player nt want jail need attempt secret anybody whistle nonchalantly let doctor live   timeplayer mansion collect murder weapon murder attempt strong   doubly weapon appropriate location failure card thwart opponent plan movement card try doctor lucky secluded location inevitable demise player try convince use failure card well attempt come,1996,1.646,6.15477,5.97081,1.52903,3,8,9.875,22.153846153846153,5,""['4', '5', '6']"",11087,97,735,517,45,45,45,12,6661,0,3,6,2,0,Doctor Lucky,0,https://cf.geekdo-images.com/HzSvdAtAiktVmdTfDEIayA__original/img/hdvDZLMGdx5EDOQFlKj8GcZkTp8=/0x0/filters:format(jpeg)/pic2923257.jpg,2675,21926,21926,934,21926,21926,21926,21926,21926,0,0,0,1,0,0,0,0",,0,0,0,,,,30,1,,
"258,Fluxx,fluxx card game card determine current rule game play card change numerous aspect game draw card play card winat start game player hold card turn player draw card play card play card new rule play change numerous aspect game card draw play card hold hand table importantly win game edition theme sibling promo card available,1997,1.3897,5.67195,5.56553,1.81575,2,6,8.127659574468085,29.28,4,""['2', '3', '4', '5', '6']"",27896,41,778,1065,30,5,30,8,16438,0,3,14,38,0,Fluxx,0,https://cf.geekdo-images.com/ZBQHRlhd32wt4F_zgeic6w__original/img/6-0pkob0RUXgRyxGPJ2ZKyYObxw=/0x0/filters:format(jpeg)/pic2405641.jpg,9171,21926,21926,2127,21926,21926,21926,592,21926,0,0,0,1,0,0,1,0",,0,0,0,,,,30,1,,
259,Atlantic Storm,1997,2,6,unique tricktaking genre card represent unit attack defend allied convoy north atlantic world war iifor trick lead player select convoy traverse arctic atlantic give year   declare battle fight air surface ocean sea   follow play unit german allied available choose year fight choose environment player subsequently pass play unit nationality meet condition   player selection dice roll total compare determine german ally win   player contribute win team get decide convoy oppose enemy ship worth vi,,,30,1,,
260,Starship Troopers: Prepare For Battle!,1997,2,4,starship trooper prepare battle confuse original starship trooper wargame avalon hill game co publish starship trooper base heinlein book   starship trooper prepare battle base film versionthis fastpaced tactical wargame begin simply add additional rule new scenarionote original starship trooper game completely different rule map unit etc,,,30,1,,
261,Olympia 2000 (v. Chr.),1994,2,5,relative hol der geierraj player use simultaneously play card compete ancient olympic event longjump discus archery   card picture athlete rating skill different event   time athlete good event poor athlete simply inept word godlike   key game card wisely good athlete get prize current event bad athlete get pick upcoming event,,,30,1,,
263,Manitou,1997,2,4,time buffalo hunt   player display hunter great warrior tribe hunt party   great warrior capture opponent tribesman score point   strong hunter win buffalo tribe   play card great skill hunt win gamepart goldsieber   la carte line gamesreimplemente      big manitou,,,30,1,,
264,Enemy in Sight,1988,2,8,enemy sight originally call cutthroat cannon year makingit fast pace card game good mix strategy luck draweach player start fleet ship card ship destroy hand size diminish wellone unique characteristic game walk disaster red card eis table player player resolve,,,30,1,,
"265,Intrigue,pure negotiation game pit player renaissance era family engage rampant nepotism   player seek position family business pursuit player offer bribe   accept bribe buy player absolutely obligation honor high briber verbal deal   word game viciousthe new amigo edition come main difference fx schmid amigo version fx schmid version use housesbuilding player value     amigo version use buildingshouse player value      accordingly fx schmid version profession   knight merchant lawyer writer clergy   amigo version retain clergy writer add chemist doctor,1994,1.9351,6.36969,6.02125,1.64211,3,5,12.285714285714286,11.0,5,""['4', '5']"",3846,128,595,231,45,45,45,14,2624,0,3,0,0,0,,0,https://cf.geekdo-images.com/l8ki305GFjjmrRworLUzLw__original/img/8Gjm0OPOkdkuZBovbvB951n_g0g=/0x0/filters:format(jpeg)/pic182825.jpg,2416,1179,21926,21926,21926,21926,21926,21926,21926,0,1,0,0,0,0,0,0",,0,0,0,,,,30,1,,
267,Tycoon,1998,2,4,tycoon player businessman travel world businessman make money   case business define opening hotel factory major city like sydney cairo new yorkplayer seek build hotel city possible build second hotel give cite earn money score additional money earn build factory city limit numberdure course game player turn buy andor plane ticket board city number ticket display row divide type expensive schedule flight allow directly print city token number city space orthogonally board cheap charter flight al,,,30,1,,
268,Cheops,1998,2,5,game revolve family member steal scarab pyramid sell profit   player choose sell scarab immediately warehouse sell end game potentially high profit   law price board influence price scarab end game,,,30,1,,
270,Svea Rike,1996,2,5,user reviewthe game design recreate history sweden   reign gustav vasa   karl xiii player represent noble family attempt build status family status achieve accumulate fief money history card set include thing queen scientist cultural personality palace commander etc troop merchantsthe game drive event card   ton em turn player draw event card play see fit turn game series event usually aid player andor hurt opponent fashionexpande     svea rike bataljnote game publish casper   demise anvaumlndba,,,30,1,,
271,It's Mine!,1998,3,5,simple   watch card dealer lay like hit quotit minequot board grab catch somebody want card slam board claim card card good nt quotdouble nothingquot card count claim pair quottoast mostquot card score quotjackpotquot card score jackpot point depend great fun age   kid quick   adult toesmdashdescription publisher,,,30,1,,
272,Downtown,1996,3,6,take fairly common theme game build type neighborhood develop city   turn block zone base player vote   property block buy block zone base score number complete block adjoin   multiplier positive negative locate certain type development otherst place   hippodice spieleautorenwettbewerb boomtown,,,30,1,,
273,Africa 1880,1997,3,6,africa    relive colonial adventure africa       european nation fiercely race gain control dark continent player represent nation explore colonize africa success adventure intrigue luxurious parlor embassy hack away jungle negotiate alliance declare war change face worldrdquo contain   resincast miniature   diecut counter game board represent africa rule book english french order sheet,,,30,1,,
274,Guerilla,1994,3,6,guerilla multiplayer simulation card game player vie control government rebel wage civil war power real guerrilla warfare government force handicap inability separate friend foe quotfog warquot accomplish clever dichotomy goal player simultaneously command government rebel force player secretly back government rebel cause severely penalize quotsidequot nt win handconsequently player tear scoring quotsidequot sacrifice resource sake opponent appear think ve figure revolution card appear change lo,,,30,1,,
275,Extinction,1993,2,6,quotthe game playedquotextinction card game   player age   object game create large herd dinosaur make opponent dino herds extinctthe game play   round represent triassic jurassic cretaceous period round player meld herd herbivorous dino earn point end round play egg card hope add established herd later game calamity card draw play player throw wrench player plan include meateate dinosaur eggeate card gene pool disastersthe large herd herd feature different type dino point earn end period player,,,30,1,,
276,La Guerre de l'Empereur,1997,2,7,la guerre de lempereur emperor war   game maneuver battle force napoleon bonaparte nation oppose support time year     player vie dominance early th century europe french player ll set napoleon army continent differ political stature play right hand great army europe handsdivide conquer british player ll utilize diplomacy clever event play powerhouse economy great navy world dominant nation russia austria prussia spain ottoman empire strike balance expansionist aggression diplomatic harmony neig,,,30,1,,
277,Res Publica,1991,3,5,res publica people guide ancient civilization great height power technologyeach turn active player make trade offer player turn respond kind card information gain trading process player work acquire identical people card order build city increase number card draw turn identical technology card order build monument garner end game victory pointsat end game player total point achieve city monument win,,,30,1,,
278,Catan Card Game,1996,2,2,catan card game bear slight resemblance settler catan original game catan series   resource wool wood brick grain ore gold begin game player receive square card show resource different die number card addition player start game village card road card connect card stack road village city purchase game new village city come new resource card village city victory pointswhen number die roll instead collect card player rotate corresponding card   degree indicate gain resource ie brick card show pictu,,,30,1,,
279,The Very Clever Pipe Game,1996,2,4,game consist set card card white black pipe sixoutlet configuration player turn place table   player construct completely closedoff section pipe color take card section   card play player score card win   additionally card different floor appear underneath pipe expand game fourplayer affairthe game rerelease   reduce deck   card instead   hip pocket games series,,,30,1,,
280,Neue Spiele im alten Rom,1994,2,7,neue spiele m alten rom new game old rome ngior compendium game reiner knizia box fourteen game theme ancient rome game theme cover albeit highly abstract fashion rise rome roman republic finally empire game describe belowthe wheel history    playersthis early version bunte runde   card lay large circle represent tribe unite early rome player advance pawn space forwards collect card card score face value quirk vary thisthe seven hill rome    playersthis easy game compendium theme battle opponent,,,30,1,,
281,Ostindiska Kompaniet,1991,2,5,translationthe swedish east india company load ship goumlteborg swedish export good   carry cadiz spain sell exchange spanish silver piastre currency acceptable chinese south indian merchant   cadiz ship sail east port india china invariably canton seek purchase profitable good   carry goumlteborg sell healthy profit   company actually supply swedish gnp day   reinvest profit new cargo start cadizfar east cycle buy share company,,,30,1,,
282,Vikingatid,1997,2,6,vike era game player game describe vike era common family game untypical detail player play danish norwegian swedish viking fleet known world trade plunder conquer furthermore possible discover hitherto unknown land area game player christianize player point win game,,,30,1,,
283,Advanced Third Reich,1992,2,6,advanced reich board wargame publish originally avalon hill game co game rewrite reich   simulation european african theater world war ii   gmt game publish world war substantially revamp streamline version advanced reich design bruce harper   design reflect corps scale turn represent month movement fight,,,30,1,,
284,Lords of the Sierra Madre (Second Edition),1995,2,8,setting northern mexico start   economic boom dictator welcome foreign investment wideopen land set stage great capitalist freeforall history player hacendado entrepreneur vie build large empire railroad mine ranch business employ banditos striker sneaky maneuver tax bribe raid destroy opponent employ police federal troop army elect governor office presidency crime mexico,,,30,1,,
285,Monsters Ravage America,1998,1,4,player giant monster stomp map usa search city destroy monster run gamut classic enormous lizard gargantuan ape slightly unconventional foot glow worm set attribute powersingeniously control arm military attack weaken monster board lose battle militia   monster wipe military basis reduce total number force available player   good lick early gamethe battle escalate th city reduce rubble time monster duke freeforall manoaclawo monster challenge dust settle monster standing declare winnerthis game ,,,30,1,,
286,Machiavelli,1977,4,8,machiavelli recreate historical situation fast developing shift balance power struggle renaissance italy major power republic florence venice duchy milan kingdom naple papacy secular power era   major foreign power valois france hapsburg austria ottoman turk state singly combination compete control peninsulaexpande byalea magazine n contain seven new scenario machiavelli,,,30,1,,
287,Bazaar,1967,2,6,component bazaar include bunch little chip color start game equation card randomly choose equation card equation total equation effect duration game equation state equivalence certain combination color example     red   green green     green yellow   blue blue redfour target card turn combination chip represent target card typical target card green green blue blue blueon turn roll colored die randomly pick colored chip exchange colored chip base equation goal end right combination chip target ca,,,30,1,,
